/* DATA DESCRIPTION:
Citation:	Jouzel, Jean; Masson-Delmotte, Valerie (2007): EPICA Dome C Ice Core 800KYr deuterium data and temperature estimates. PANGAEA, https://doi.org/10.1594/PANGAEA.683655, 
	Supplement to: Jouzel, Jean; Masson-Delmotte, Valerie; Cattani, Olivier; Dreyfus, Gabrielle; Falourd, Sonia; Hoffmann, G; Minster, B; Nouet, J; Barnola, Jean-Marc; Chappellaz, Jérôme A; Fischer, Hubertus; Gallet, J C; Johnsen, Sigfus J; Leuenberger, Markus C; Loulergue, Laetitia; Luethi, D; Oerter, Hans; Parrenin, Frédéric; Raisbeck, Grant M; Raynaud, Dominique; Schilt, Adrian; Schwander, Jakob; Selmo, Enrico; Souchez, Roland; Spahni, Renato; Stauffer, Bernhard; Steffensen, Jørgen Peder; Stenni, Barbara; Stocker, Thomas F; Tison, Jean-Louis; Werner, Martin; Wolff, Eric W (2007): Orbital and millennial Antarctic climate variability over the past 800,000 years. Science, 317(5839), 793-797, https://doi.org/10.1126/science.1141038
Abstract:	A high-resolution deuterium profile is now available along the entire European Project for Ice Coring in Antarctica Dome C ice core, extending this climate record back to marine isotope stage 20.2, ~800,000 years ago. Experiments performed with an atmospheric general circulation model including water isotopes support its temperature interpretation. We assessed the general correspondence between Dansgaard-Oeschger events and their smoothed Antarctic counterparts for this Dome C record, which reveals the presence of such features with similar amplitudes during previous glacial periods. We suggest that the interplay between obliquity and precession accounts for the variable intensity of interglacial periods in ice core records.
	Temperature was estimated after correction for sea-water isotopic composition (Bintanja et al, 2005) and for ice sheet elevation (Parrenin et al, 2007) on EDC3 age scale (Parrenin et al, 2007).
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: http://www.esf.org/index.php?id=855)
Coverage:	LATITUDE: -75.100000 * LONGITUDE: 123.350000
	DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00
	MINIMUM DEPTH, ice/snow: 0.00 m * MAXIMUM DEPTH, ice/snow: 3189.45 m
Event(s):	EDC (EPICA Dome C) (URI: https://en.wikipedia.org/wiki/Dome_C) * LATITUDE: -75.100000 * LONGITUDE: 123.350000 * DATE/TIME START: 1993-01-01T00:00:00 * DATE/TIME END: 2004-12-31T00:00:00 * ELEVATION: 3233.0 m * Recovery: 3300 m * LOCATION: Dome C, Antarctica * CAMPAIGN: Dome C * METHOD/DEVICE: Ice drill (ICEDRILL) * COMMENT: Drill site is 56 km from the site of a previous Dome C core that provided records extending into the last glacial period, and 560 km from the site of the Vostok cores. The completion of the Dome C core was delayed when the first drilling became stuck at 788 m in 1999 (EDC96).
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	Age model [ka] (Age model) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Age model, ice flow model * COMMENT: EDC3 time scale
	δ Deuterium [‰ SMOW] (δD) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Isotope ratio mass spectrometry (URI: https://en.wikipedia.org/wiki/Isotope_ratio_mass_spectrometry) * COMMENT: LSCE, analytical accuracy of 0.5 per mil
	Temperature, difference [°C] (delta T) * PI: Masson-Delmotte, Valerie * METHOD/DEVICE: Calculated * COMMENT: Temperature difference from the average of the last 1000 years
	Sample ID (Sample ID) * PI: Masson-Delmotte, Valerie * COMMENT: Bag number
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0)
Size:	23173 data points
*/
Depth ice/snow [m]	Age model [ka]	δD [‰ SMOW]	delta T [°C]	Sample ID
172.70	4.978	-397.9	-0.50	315
173.25	4.997	-398.9	-0.66	316
173.80	5.018	-396.8	-0.32	317
174.35	5.037	-396.6	-0.29	318
174.90	5.057	-392.7	0.36	319
175.45	5.077	-400.6	-0.95	320
176.00	5.097	-396.3	-0.24	321
176.55	5.118	-395.6	-0.13	322
177.10	5.137	-393.3	0.25	323
177.65	5.156	-391.4	0.56	324
178.20	5.175	-391.3	0.58	325
178.75	5.193	-393.2	0.26	326
179.30	5.212	-397.6	-0.47	327
179.85	5.232	-395.8	-0.17	328
180.40	5.253	-403.1	-1.38	329
180.95	5.273	-396.3	-0.26	330
181.50	5.293	-390.6	0.69	331
182.05	5.312	-396.0	-0.21	332
182.60	5.332	-390.6	0.68	333
183.15	5.351	-396.3	-0.26	334
183.70	5.370	-394.5	0.03	335
184.25	5.389	-391.4	0.54	336
184.80	5.409	-407.6	-2.14	337
185.35	5.430	-401.2	-1.08	338
185.90	5.453	-402.4	-1.28	339
186.45	5.474	-395.0	-0.06	340
187.00	5.495	-402.5	-1.30	341
187.55	5.516	-407.9	-2.19	342
188.10	5.539	-399.6	-0.82	343
188.65	5.561	-394.6	0.00	344
189.20	5.580	-387.2	1.23	345
189.75	5.598	-396.2	-0.26	346
190.30	5.617	-394.0	0.10	347
190.85	5.637	-399.1	-0.75	348
191.40	5.657	-395.2	-0.10	349
191.95	5.677	-396.0	-0.24	350
192.50	5.697	-400.4	-0.97	351
193.05	5.717	-391.1	0.57	352
193.60	5.736	-399.2	-0.77	353
194.15	5.756	-386.2	1.38	354
194.70	5.774	-398.9	-0.72	355
195.25	5.793	-389.0	0.91	356
195.80	5.811	-388.4	1.01	357
196.35	5.831	-400.4	-0.98	358
196.90	5.850	-392.7	0.29	359
197.45	5.868	-391.0	0.57	360
198.00	5.887	-392.5	0.32	361
198.55	5.905	-397.7	-0.54	362
199.10	5.926	-399.8	-0.89	363
199.65	5.946	-398.7	-0.71	364
200.20	5.967	-403.7	-1.54	365
200.75	5.989	-397.4	-0.50	366
201.30	6.009	-391.7	0.45	367
201.85	6.028	-394.5	-0.02	368
202.40	6.047	-396.8	-0.40	369
202.95	6.067	-399.2	-0.80	370
203.50	6.087	-394.0	0.06	371
204.05	6.107	-391.4	0.49	372
204.60	6.127	-403.5	-1.52	373
205.15	6.147	-389.5	0.80	374
205.70	6.166	-399.9	-0.93	375
206.25	6.186	-397.4	-0.51	376
206.80	6.205	-398.6	-0.71	377
207.35	6.225	-394.1	0.03	378
207.90	6.245	-398.4	-0.68	379
208.45	6.265	-401.7	-1.23	380
209.00	6.286	-392.6	0.27	381
209.55	6.306	-395.4	-0.19	382
210.10	6.326	-402.1	-1.30	383
210.65	6.346	-403.6	-1.55	384
211.20	6.367	-396.5	-0.38	385
211.75	6.388	-402.5	-1.37	386
212.30	6.409	-398.8	-0.76	387
212.85	6.430	-397.0	-0.47	388
213.40	6.449	-389.4	0.79	389
213.95	6.468	-395.0	-0.14	390
214.50	6.487	-404.9	-1.78	391
215.05	6.509	-402.2	-1.34	392
215.60	6.531	-389.2	0.81	393
216.15	6.550	-397.0	-0.48	394
216.70	6.570	-401.8	-1.27	395
217.25	6.590	-398.4	-0.71	396
217.80	6.612	-407.8	-2.27	397
218.35	6.633	-395.4	-0.22	398
218.90	6.654	-403.1	-1.50	399
219.45	6.675	-406.1	-2.00	400
220.00	6.695	-390.4	0.60	401
220.55	6.715	-392.6	0.23	402
221.10	6.735	-395.7	-0.28	403
221.65	6.755	-402.9	-1.47	404
222.20	6.775	-401.9	-1.31	405
222.75	6.797	-401.2	-1.20	406
223.30	6.818	-400.4	-1.07	407
223.85	6.838	-397.5	-0.59	408
224.40	6.858	-389.4	0.75	409
224.95	6.877	-395.4	-0.25	410
225.50	6.895	-387.9	0.99	411
226.05	6.913	-398.3	-0.73	412
226.60	6.933	-398.7	-0.80	413
227.15	6.953	-401.3	-1.23	414
227.70	6.974	-396.8	-0.49	415
228.25	6.994	-395.6	-0.29	416
228.80	7.013	-402.5	-1.44	417
229.35	7.034	-399.5	-0.94	418
229.90	7.056	-397.8	-0.66	419
230.45	7.076	-400.5	-1.11	420
231.00	7.097	-400.8	-1.16	421
231.55	7.118	-396.1	-0.39	422
232.10	7.139	-405.3	-1.91	423
232.65	7.160	-411.9	-3.00	424
233.20	7.183	-401.7	-1.32	425
233.75	7.206	-399.3	-0.93	426
234.30	7.228	-404.7	-1.82	427
234.85	7.249	-403.1	-1.56	428
235.40	7.270	-402.3	-1.43	429
235.95	7.292	-396.1	-0.40	430
236.50	7.311	-388.3	0.88	431
237.05	7.330	-398.5	-0.81	432
237.60	7.349	-406.3	-2.10	433
238.15	7.371	-399.9	-1.04	434
238.70	7.392	-404.7	-1.84	435
239.25	7.414	-403.8	-1.69	436
239.80	7.436	-395.0	-0.24	437
240.35	7.457	-402.8	-1.53	438
240.90	7.478	-404.2	-1.77	439
241.45	7.498	-399.1	-0.93	440
242.00	7.519	-393.3	0.03	441
242.55	7.539	-399.1	-0.93	442
243.10	7.557	-389.2	0.70	443
243.65	7.576	-397.7	-0.71	444
244.20	7.595	-388.4	0.83	445
244.75	7.614	-400.3	-1.14	446
245.30	7.633	-403.7	-1.71	447
245.85	7.655	-398.3	-0.82	448
246.40	7.676	-396.1	-0.46	449
246.95	7.695	-390.7	0.43	450
247.50	7.714	-404.7	-1.88	451
248.05	7.733	-400.2	-1.14	452
248.60	7.753	-388.5	0.79	453
249.15	7.773	-390.4	0.47	454
249.70	7.792	-405.5	-2.03	455
250.25	7.812	-399.5	-1.04	456
250.80	7.833	-402.1	-1.47	457
251.35	7.854	-402.2	-1.49	458
251.90	7.874	-395.2	-0.34	459
252.45	7.894	-391.6	0.26	460
253.00	7.913	-396.5	-0.56	461
253.55	7.933	-399.5	-1.06	462
254.10	7.953	-400.6	-1.24	463
254.65	7.974	-401.6	-1.41	464
255.20	7.995	-400.6	-1.25	465
255.75	8.016	-406.3	-2.19	466
256.30	8.038	-398.3	-0.87	467
256.85	8.060	-411.7	-3.09	468
257.40	8.083	-399.8	-1.13	469
257.95	8.104	-396.9	-0.65	470
258.50	8.124	-401.4	-1.40	471
259.05	8.145	-405.3	-2.04	472
259.60	8.168	-408.3	-2.54	473
260.15	8.191	-406.5	-2.25	474
260.70	8.213	-400.8	-1.31	475
261.25	8.235	-403.2	-1.71	476
261.80	8.256	-397.5	-0.77	477
262.35	8.277	-401.0	-1.35	478
262.90	8.298	-401.5	-1.43	479
263.45	8.319	-400.4	-1.26	480
264.00	8.340	-400.3	-1.24	481
264.55	8.361	-407.3	-2.40	482
265.10	8.383	-403.0	-1.69	483
265.65	8.405	-404.2	-1.89	484
266.20	8.427	-401.2	-1.40	485
266.75	8.448	-397.2	-0.74	486
267.30	8.468	-396.9	-0.70	487
267.85	8.488	-397.8	-0.85	488
268.40	8.508	-409.5	-2.79	489
268.95	8.529	-397.1	-0.74	490
269.50	8.550	-390.3	0.38	491
270.05	8.570	-397.5	-0.81	492
270.60	8.589	-401.9	-1.54	493
271.15	8.609	-392.4	0.02	494
271.70	8.629	-399.9	-1.22	495
272.25	8.648	-399.3	-1.13	496
272.80	8.668	-396.7	-0.70	497
273.35	8.688	-402.1	-1.60	498
273.90	8.709	-401.8	-1.55	499
274.45	8.730	-397.5	-0.84	500
275.00	8.750	-400.2	-1.29	501
275.55	8.770	-395.0	-0.44	502
276.10	8.790	-404.4	-2.00	503
276.65	8.811	-402.1	-1.62	504
277.20	8.833	-397.9	-0.93	505
277.75	8.852	-393.4	-0.19	506
278.30	8.872	-397.7	-0.90	507
278.85	8.891	-397.4	-0.86	508
279.40	8.911	-397.4	-0.86	509
279.95	8.931	-399.0	-1.13	510
280.50	8.950	-391.8	0.05	511
281.05	8.969	-392.7	-0.10	512
281.60	8.988	-401.1	-1.49	513
282.15	9.008	-396.1	-0.67	514
282.70	9.027	-397.7	-0.94	515
283.25	9.047	-395.6	-0.59	516
283.80	9.066	-398.6	-1.09	517
284.35	9.086	-394.9	-0.49	518
284.90	9.105	-394.9	-0.49	519
285.45	9.126	-407.4	-2.56	520
286.00	9.147	-403.4	-1.90	521
286.55	9.168	-392.2	-0.06	522
287.10	9.187	-400.4	-1.42	523
287.65	9.207	-391.1	0.11	524
288.20	9.224	-388.5	0.54	525
288.75	9.242	-394.8	-0.51	526
289.30	9.262	-397.7	-0.99	527
289.85	9.281	-401.2	-1.57	528
290.40	9.301	-391.9	-0.04	529
290.95	9.319	-393.3	-0.28	530
291.50	9.338	-394.3	-0.45	531
292.05	9.357	-395.0	-0.57	532
292.60	9.376	-392.4	-0.14	533
293.15	9.394	-393.5	-0.33	534
293.70	9.412	-390.0	0.24	535
294.25	9.430   -389.3  0.36	536
294.80	9.447	-388.5	0.48	537
295.35	9.464	-394.3	-0.48	538
295.90	9.484	-403.6	-2.02	539
296.45	9.504	-393.3	-0.33	540
297.00	9.523	-398.0	-1.11	541
297.55	9.542	-391.0	0.04	542
298.10	9.561	-395.8	-0.75	543
298.65	9.578	-386.4	0.79	544
299.20	9.596	-391.8	-0.10	545
299.75	9.614	-398.2	-1.16	546
300.30	9.633	-391.6	-0.08	547
300.85	9.652	-393.4	-0.38	548
301.40	9.669	-384.4	1.11	549
301.95	9.686	-391.3	-0.04	550
302.50	9.704	-391.0	0.01	551
303.05	9.721	-388.3	0.45	552
303.60	9.738	-391.4	-0.07	553
304.15	9.755	-382.9	1.33	554
304.70	9.772	-387.2	0.62	555
305.25	9.789	-405.5	-2.40	556
305.80	9.809	-391.7	-0.13	557
306.35	9.828	-392.1	-0.20	558
306.90	9.847	-400.4	-1.57	559
307.45	9.866	-386.7	0.68	560
308.00	9.884	-394.5	-0.61	561
308.55	9.902	-389.9	0.15	562
309.10	9.920	-394.7	-0.65	563
309.65	9.939	-396.6	-0.97	564
310.20	9.957	-388.6	0.35	565
310.75	9.976	-392.9	-0.36	566
311.30	9.994	-395.2	-0.75	567
311.85	10.012	-389.1	0.26	568
312.40	10.029	-388.7	0.32	569
312.95	10.047	-391.8	-0.20	570
313.50	10.065	-388.8	0.29	571
314.05	10.083	-397.7	-1.18	572
314.60	10.101	-390.4	0.02	573
315.15	10.117	-382.1	1.39	574
315.70	10.134	-387.9	0.43	575
316.25	10.151	-390.6	-0.02	576
316.80	10.169	-393.3	-0.47	577
317.35	10.187	-388.1	0.38	578
317.90	10.205	-391.6	-0.20	579
318.45	10.222	-396.9	-1.08	580
319.00	10.241	-398.7	-1.38	581
319.55	10.259	-386.6	0.61	582
320.10	10.278	-390.7	-0.07	583
320.65	10.295	-391.2	-0.15	584
321.20	10.313	-389.5	0.12	585
321.75	10.331	-400.9	-1.76	586
322.30	10.350	-388.6	0.26	587
322.85	10.369	-397.9	-1.27	588
323.40	10.388	-393.0	-0.47	589
323.95	10.407	-394.4	-0.71	590
324.50	10.426	-399.4	-1.53	591
325.05	10.445	-388.2	0.31	592
325.60	10.462	-386.8	0.53	593
326.15	10.479	-383.0	1.16	594
326.70	10.495	-387.5	0.41	595
327.25	10.511	-390.1	-0.02	596
327.80	10.527	-377.1	2.12	597
328.35	10.543	-397.4	-1.23	598
328.90	10.562	-390.6	-0.12	599
329.45	10.580	-393.2	-0.55	600
330.00	10.599	-395.2	-0.88	601
330.55	10.618	-393.7	-0.64	602
331.10	10.637	-392.9	-0.51	603
331.65	10.655	-391.4	-0.27	604
332.20	10.673	-384.5	0.86	605
332.75	10.691	-394.4	-0.77	606
333.30	10.708	-394.8	-0.84	607
333.85	10.727	-395.8	-1.01	608
334.40	10.746	-396.2	-1.08	609
334.95	10.766	-395.4	-0.96	610
335.50	10.784	-391.7	-0.35	611
336.05	10.803	-390.9	-0.22	612
336.60	10.821	-388.0	0.25	613
337.15	10.838	-392.6	-0.51	614
337.70	10.856	-397.7	-1.36	615
338.25	10.875	-394.3	-0.80	616
338.80	10.895	-391.4	-0.33	617
339.35	10.913	-387.7	0.28	618
339.90	10.931	-395.2	-0.96	619
340.45	10.949	-400.3	-1.81	620
341.00	10.969	-393.3	-0.66	621
341.55	10.989	-390.0	-0.12	622
342.10	11.006	-390.9	-0.27	623
342.65	11.024	-387.4	0.30	624
343.20	11.042	-389.7	-0.08	625
343.75	11.060	-398.0	-1.45	626
344.30	11.079	-396.1	-1.14	627
344.85	11.098	-392.0	-0.47	628
345.40	11.117	-397.7	-1.41	629
345.95	11.136	-398.9	-1.62	630
346.50	11.157	-394.7	-0.93	631
347.05	11.175	-386.8	0.37	632
347.60	11.192	-385.8	0.53	633
348.15	11.209	-387.9	0.18	634
348.70	11.228	-390.7	-0.29	635
349.25	11.246	-402.0	-2.15	636
349.80	11.265	-392.6	-0.61	637
350.35	11.283	-390.8	-0.32	638
350.90	11.302	-394.6	-0.95	639
351.45	11.319	-381.0	1.29	640
352.00	11.336	-382.1	1.11	641
352.55	11.354	-399.5	-1.77	642
353.10	11.373	-393.5	-0.78	643
353.65	11.392	-398.4	-1.59	644
354.20	11.411	-393.4	-0.77	645
354.75	11.430	-390.9	-0.37	646
355.30	11.448	-386.1	0.42	647
355.85	11.465	-387.8	0.14	648
356.40	11.482	-383.8	0.79	649
356.95	11.499	-386.9	0.28	650
357.50	11.516	-393.0	-0.73	651
358.05	11.535	-396.6	-1.33	652
358.60	11.554	-394.1	-0.92	653
359.15	11.573	-395.5	-1.16	654
359.70	11.593	-395.4	-1.15	655
360.25	11.612	-389.6	-0.19	656
360.80	11.631	-394.8	-1.05	657
361.35	11.649	-388.3	0.01	658
361.90	11.667	-394.8	-1.06	659
362.45	11.686	-387.9	0.07	660
363.00	11.704	-396.1	-1.29	661
363.55	11.723	-391.3	-0.50	662
364.10	11.742	-393.6	-0.88	663
364.65	11.760	-387.8	0.07	664
365.20	11.779	-396.1	-1.30	665
365.75	11.798	-403.2	-2.48	666
366.30	11.820	-399.4	-1.85	667
366.85	11.841	-400.8	-2.09	668
367.40	11.863	-399.4	-1.86	669
367.95	11.884	-400.9	-2.11	670
368.50	11.905	-399.2	-1.84	671
369.05	11.927	-404.9	-2.78	672
369.60	11.949	-404.0	-2.64	673
370.15	11.972	-398.2	-1.69	674
370.70	11.993	-400.0	-1.99	675
371.25	12.014	-399.8	-1.96	676
371.80	12.037	-406.2	-3.02	677
372.35	12.059	-403.5	-2.57	678
372.90	12.082	-405.5	-2.91	679
373.45	12.106	-414.8	-4.44	680
374.00	12.131	-406.2	-3.03	681
374.55	12.156	-405.8	-2.97	682
375.10	12.181	-410.9	-3.81	683
375.65	12.205	-403.7	-2.63	684
376.20	12.227	-400.6	-2.12	685
376.75	12.250	-409.6	-3.61	686
377.30	12.273	-401.2	-2.23	687
377.85	12.297	-413.3	-4.23	688
378.40	12.324	-414.3	-4.40	689
378.95	12.350	-408.8	-3.49	690
379.50	12.376	-417.4	-4.91	691
380.05	12.402	-406.8	-3.17	692
380.60	12.427	-404.3	-2.76	693
381.15	12.452	-412.4	-4.10	694
381.70	12.477	-412.6	-4.14	695
382.25	12.503	-410.9	-3.86	696
382.80	12.530	-420.8	-5.50	697
383.35	12.559	-417.2	-4.91	698
383.90	12.588	-418.8	-5.17	699
384.45	12.617	-415.6	-4.65	700
385.00	12.646	-418.6	-5.15	701
385.55	12.673	-410.9	-3.88	702
386.10	12.700	-413.7	-4.35	703
386.65	12.727	-412.7	-4.19	704
387.20	12.754	-419.3	-5.28	705
387.75	12.784	-420.8	-5.53	706
388.30	12.813	-412.1	-4.10	707
388.85	12.841	-416.0	-4.74	708
389.40	12.867	-408.8	-3.56	709
389.95	12.894	-413.9	-4.41	710
390.50	12.922	-416.4	-4.82	711
391.05	12.950	-417.7	-5.04	712
391.60	12.978	-414.9	-4.58	713
392.15	13.005	-410.4	-3.85	714
392.70	13.032	-411.6	-4.05	715
393.25	13.059	-415.0	-4.61	716
393.80	13.087	-418.4	-5.17	717
394.35	13.115	-415.5	-4.70	718
394.90	13.143	-412.9	-4.27	719
395.45	13.170	-408.0	-3.47	720
396.00	13.196	-410.8	-3.94	721
396.55	13.222	-414.8	-4.60	722
397.10	13.249	-408.7	-3.60	723
397.65	13.275	-408.5	-3.57	724
398.20	13.300	-411.8	-4.12	725
398.75	13.327	-412.8	-4.28	726
399.30	13.354	-419.0	-5.31	727
399.85	13.383	-417.5	-5.06	728
400.40	13.412	-414.0	-4.49	729
400.95	13.440	-416.6	-4.92	730
401.50	13.468	-410.8	-3.97	731
402.05	13.495	-403.4	-2.76	732
402.60	13.520	-413.7	-4.46	733
403.15	13.546	-410.2	-3.88	734
403.70	13.572	-415.9	-4.83	735
404.25	13.600	-416.8	-4.98	736
404.80	13.629	-417.3	-5.06	737
405.35	13.658	-417.1	-5.03	738
405.90	13.687	-411.9	-4.18	739
406.45	13.715	-415.5	-4.78	740
407.00	13.742	-413.4	-4.43	741
407.55	13.770	-405.0	-3.06	742
408.10	13.796	-417.2	-5.07	743
408.65	13.822	-405.5	-3.15	744
409.20	13.848	-414.3	-4.60	745
409.75	13.875	-414.8	-4.68	746
410.30	13.903	-412.0	-4.23	747
410.85	13.930	-407.5	-3.49	748
411.40	13.956	-403.4	-2.82	749
411.95	13.979	-402.3	-2.64	750
412.50	14.002	-405.9	-3.24	751
413.05	14.028	-410.4	-3.98	752
413.60	14.053	-410.8	-4.05	753
414.15	14.080	-413.4	-4.48	754
414.70	14.106	-406.0	-3.27	755
415.25	14.131	-402.6	-2.71	756
415.80	14.156	-404.3	-3.00	757
416.35	14.180	-406.9	-3.43	758
416.90	14.205	-411.2	-4.14	759
417.45	14.230	-392.2	-1.02	760
418.00	14.252	-397.7	-1.93	761
418.55	14.273	-399.1	-2.16	762
419.10	14.295	-402.3	-2.69	763
419.65	14.318	-401.1	-2.50	764
420.20	14.341	-403.9	-2.96	765
420.75	14.364	-401.2	-2.52	766
421.30	14.390	-418.2	-5.32	767
421.85	14.417	-408.8	-3.78	768
422.40	14.442	-402.3	-2.71	769
422.95	14.467	-411.1	-4.17	770
423.50	14.493	-411.1	-4.17	771
424.05	14.520	-407.3	-3.55	772
424.60	14.547	-413.6	-4.59	773
425.15	14.574	-411.2	-4.20	774
425.70	14.601	-418.6	-5.42	775
426.25	14.631	-415.7	-4.94	776
426.80	14.660	-411.3	-4.22	777
427.35	14.688	-416.2	-5.03	778
427.90	14.716	-412.6	-4.44	779
428.45	14.744	-407.6	-3.62	780
429.00	14.770	-410.1	-4.04	781
429.55	14.796	-411.6	-4.29	782
430.10	14.823	-407.5	-3.62	783
430.65	14.850	-409.9	-4.02	784
431.20	14.876	-411.3	-4.25	785
431.75	14.904	-419.0	-5.52	786
432.30	14.933	-399.4	-2.30	787
432.85	14.959	-413.0	-4.54	788
433.40	14.984	-416.4	-5.10	789
433.95	15.014	-416.3	-5.09	790
434.50	15.042	-410.0	-4.05	791
435.05	15.070	-410.7	-4.17	792
435.60	15.097	-412.7	-4.50	793
436.15	15.125	-411.8	-4.36	794
436.70	15.153	-414.2	-4.76	795
437.25	15.182	-416.6	-5.16	796
437.80	15.211	-420.0	-5.72	797
438.35	15.242	-418.5	-5.47	798
438.90	15.273	-419.6	-5.66	799
439.45	15.304	-418.7	-5.51	800
440.00	15.335	-420.1	-5.74	801
440.55	15.366	-419.8	-5.70	802
441.10	15.397	-414.0	-4.75	803
441.65	15.427	-416.2	-5.11	804
442.20	15.457	-417.6	-5.35	805
442.75	15.487	-421.6	-6.01	806
443.30	15.518	-416.6	-5.19	807
443.85	15.549	-423.8	-6.37	808
444.40	15.581	-414.2	-4.80	809
444.95	15.612	-417.8	-5.39	810
445.50	15.642	-416.9	-5.25	811
446.05	15.672	-419.1	-5.61	812
446.60	15.703	-417.3	-5.32	813
447.15	15.734	-419.1	-5.62	814
447.70	15.765	-420.3	-5.82	815
448.25	15.797	-422.5	-6.18	816
448.80	15.830	-417.7	-5.39	817
449.35	15.862	-425.4	-6.66	818
449.90	15.894	-420.8	-5.91	819
450.45	15.927	-421.1	-5.96	820
451.00	15.960	-424.1	-6.46	821
451.55	15.994	-426.8	-6.90	822
452.10	16.029	-425.9	-6.76	823
452.65	16.063	-420.9	-5.94	824
453.20	16.096	-421.9	-6.10	825
453.75	16.129	-421.7	-6.07	826
454.30	16.162	-422.6	-6.22	827
454.85	16.196	-429.8	-7.41	828
455.40	16.231	-423.9	-6.44	829
455.95	16.266	-421.9	-6.12	830
456.50	16.299	-425.8	-6.76	831
457.05	16.334	-426.0	-6.79	832
457.60	16.369	-425.7	-6.75	833
458.15	16.404	-426.4	-6.86	834
458.70	16.440	-434.2	-8.15	835
459.25	16.478	-427.5	-7.05	836
459.80	16.516	-429.9	-7.44	837
460.35	16.553	-428.1	-7.15	838
460.90	16.589	-426.1	-6.82	839
461.45	16.626	-438.3	-8.83	840
462.00	16.665	-429.4	-7.37	841
462.55	16.705	-434.5	-8.21	842
463.10	16.744	-433.9	-8.11	843
463.65	16.784	-434.6	-8.23	844
464.20	16.825	-439.3	-9.00	845
464.75	16.867	-431.6	-7.74	846
465.30	16.907	-432.0	-7.80	847
465.85	16.947	-435.5	-8.38	848
466.40	16.986	-429.4	-7.38	849
466.95	17.025	-437.2	-8.66	850
467.50	17.066	-429.5	-7.40	851
468.05	17.105	-441.5	-9.37	852
468.60	17.148	-436.2	-8.50	853
469.15	17.190	-435.6	-8.40	854
469.70	17.233	-439.9	-9.11	855
470.25	17.275	-435.5	-8.39	856
470.80	17.318	-439.7	-9.08	857
471.35	17.361	-442.5	-9.54	858
471.90	17.407	-442.1	-9.47	859
472.45	17.453	-442.1	-9.47	860
473.00	17.499	-443.5	-9.70	861
473.55	17.545	-433.9	-8.13	862
474.10	17.586	-439.0	-8.97	863
474.65	17.630	-443.7	-9.74	864
475.20	17.676	-438.6	-8.90	865
475.75	17.720	-438.4	-8.87	866
476.30	17.764	-442.5	-9.54	867
476.85	17.810	-444.2	-9.82	868
477.40	17.857	-443.1	-9.64	869
477.95	17.903	-440.5	-9.21	870
478.50	17.949	-440.7	-9.25	871
479.05	17.993	-438.8	-8.94	872
479.60	18.037	-440.3	-9.18	873
480.15	18.082	-441.9	-9.45	874
480.70	18.128	-441.7	-9.41	875
481.25	18.174	-441.4	-9.36	876
481.80	18.219	-442.3	-9.51	877
482.35	18.266	-441.6	-9.40	878
482.90	18.312	-447.4	-10.35	879
483.45	18.361	-437.2	-8.67	880
484.00	18.405	-440.8	-9.26	881
484.55	18.449	-436.5	-8.56	882
485.10	18.493	-444.8	-9.92	883
485.65	18.540	-440.5	-9.21	884
486.20	18.586	-442.9	-9.61	885
486.75	18.632	-441.4	-9.36	886
487.30	18.678	-439.3	-9.02	887
487.85	18.723	-443.4	-9.69	888
488.40	18.769	-438.2	-8.84	889
488.95	18.815	-446.0	-10.12	890
489.50	18.862	-441.3	-9.34	891
490.05	18.908	-435.8	-8.44	892
490.60	18.953	-447.9	-10.43	893
491.15	19.001	-444.6	-9.89	894
491.70	19.049	-436.3	-8.52	895
492.25	19.093	-442.5	-9.54	896
492.80	19.139	-441.3	-9.34	897
493.35	19.185	-432.0	-7.81	898
493.90	19.226	-442.6	-9.55	899
494.45	19.272	-438.7	-8.91	900
495.00	19.317	-445.1	-9.96	901
495.55	19.365	-440.2	-9.16	902
496.10	19.411	-443.8	-9.75	903
496.65	19.458	-443.0	-9.62	904
497.20	19.506	-446.5	-10.19	905
497.75	19.555	-441.5	-9.37	906
498.30	19.603	-446.5	-10.19	907
498.85	19.652	-444.9	-9.93	908
499.40	19.700	-438.9	-8.94	909
499.95	19.746	-438.3	-8.84	910
500.50	19.790	-436.4	-8.53	911
501.05	19.834	-442.4	-9.51	912
501.60	19.881	-448.0	-10.43	913
502.15	19.931	-444.2	-9.81	914
502.70	19.979	-441.7	-9.40	915
503.25	20.026	-439.5	-9.04	916
503.80	20.072	-442.1	-9.46	917
504.35	20.118	-437.5	-8.71	918
504.90	20.163	-444.1	-9.79	919
505.45	20.210	-440.6	-9.22	920
506.00	20.257	-442.5	-9.53	921
506.55	20.304	-443.5	-9.69	922
507.10	20.352	-443.7	-9.72	923
507.65	20.401	-446.5	-10.18	924
508.20	20.450	-438.8	-8.92	925
508.75	20.496	-438.3	-8.83	926
509.30	20.541	-441.2	-9.31	927
509.85	20.587	-442.3	-9.49	928
510.40	20.635	-443.3	-9.65	929
